epoch,loss_mode,mean_loss,train_ce,val_ce,train_traj_contrast,val_traj_contrast,mean_final_step_tension,max_batch_loss,lr,global_step,tscore_evolves,tscore_last_tension
1,trajectory,4.038776,5.164021,4.952000,2.173022,0.044190,,5.467494,0.00100000,4998,0,0.000000
2,trajectory,3.754417,4.318532,4.846758,2.195427,0.057398,,4.288018,0.00100000,9996,0,0.000000
3,trajectory,3.722074,4.218596,4.818977,2.198171,0.069723,,4.182866,0.00100000,14994,0,0.000000
4,trajectory,3.705549,4.157750,4.823598,2.175960,0.080102,,4.075574,0.00100000,19992,0,0.000000
5,trajectory,3.700671,4.126363,4.802956,2.191505,0.089451,,4.105159,0.00100000,24990,0,0.000000
6,trajectory,3.663413,3.983927,4.771440,2.185622,0.093166,,4.101116,0.00080000,29988,0,0.000000
7,trajectory,3.649261,3.925003,4.767115,2.183872,0.093900,,4.009823,0.00080000,34986,0,0.000000
8,trajectory,3.647645,3.919030,4.807020,2.189065,0.093833,,4.058037,0.00080000,39984,0,0.000000
9,trajectory,3.642654,3.907810,4.799400,2.172259,0.094758,,4.017154,0.00080000,44982,0,0.000000
10,trajectory,3.632382,3.876739,4.808382,2.181615,0.095563,,4.031892,0.00080000,49980,0,0.000000
